,formula,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Poisson ratio,Acoustic Debye Temperature (K),Kappa_cal (W m-1 K-1)
mp-1228844,Er20Cu6Pb9S42,77,6.484093372044656,1776.81989292,6937.986,55.25684732830141,27.480579005523825,2058.6774592000734,3764.675089685717,0.2866979073806902,56.42915404659471,0.6084224856204757
mp-1221989,Na4Cd7N30O36,77,2.285437729139393,1362.36562201,1875.011,20.258220128977545,7.819402618751501,1849.7033851907297,3664.138909626533,0.3290070100213293,55.695502990950274,0.1087484779530445
mp-1100935,V2H38S4N6O27,77,1.6777562530344126,776.43096486,784.463,19.128327890205064,8.044104477562044,2189.648571901369,4218.279771020827,0.315584214026996,79.3831138297423,0.1204536844288176
mp-510449,Co2H40S4N4O28,78,1.8609534880674536,705.33581426,790.446,24.02976170283756,11.031776495090968,2434.7533264880963,4562.525511061232,0.3009209167521143,90.96927965930398,0.1927854095371662
mp-1199673,Co10P8H24O32F4,78,2.9960345488650244,803.27256205,1449.274,58.30833220098887,21.78475334303787,2696.515462223624,5399.700291422885,0.3338814927906397,96.88966165245112,0.3528598668392314
mp-1179039,V2H40S4N4O28,78,1.7804005824141114,722.34181499,774.464,26.233400780536403,11.767851744954497,2570.926911643004,4852.5700988762455,0.3048838587758086,95.34535182237713,0.2135941910773586
mp-14935,P18Rh6O54,78,3.478221945155564,973.42134667,2038.914,57.35271501893532,27.6933681502744,2821.68964334154,5206.246250224485,0.2920413640003445,94.58625579921328,0.6583574646992899
mp-1194914,Ba14V12Co2Cl8O42,78,4.346318317338564,1378.23600815,3607.33,42.42665737768217,22.77819928251678,2289.2800784282867,4092.585254735543,0.272306308936992,68.17416834465796,0.550077584302343
mp-771905,Mn6P18O54,78,2.938244873385232,989.65471442,1751.1060000000002,48.33461042865666,24.83685830519268,2907.396988742382,5265.052117440238,0.2806456889249021,96.78644977374776,0.6523441594620942
mp-728691,Cr2H40S4N4O28,78,1.7866579531800564,721.77121759,776.572,24.35531880017559,10.342994452119086,2406.0377521797877,4620.65633704456,0.3139948828083542,89.35824797382264,0.1656919256912427
mp-766880,Li6Co12P12O48,78,2.8788039250514164,1089.33137501,1888.482,53.8252577666648,19.94425418528042,2632.1028606751997,5285.298277151177,0.3350987942588156,85.45715255572946,0.34589458922576
